stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
26,飞亚达A,2018,2,2018-08-23,18572.9616,19838.0,-0.0638
26,飞亚达A,2018,3,2018-10-20,16783.5758,18606.4444,-0.098
26,飞亚达A,2018,4,2019-01-30,17526.0,16786.06,0.0441
26,飞亚达A,2019,2,2019-08-15,21998.5556,20387.0,0.079
27,深圳能源,2016,2,2016-07-27,156410.0,242135.0,-0.354
27,深圳能源,2016,4,2017-04-08,134707.0276,140745.0,-0.0429
27,深圳能源,2017,2,2017-08-26,113700.0,118934.748,-0.044
27,深圳能源,2017,4,2018-02-03,78036.0,115200.0,-0.3226
27,深圳能源,2018,1,2018-04-28,95558.0,132000.0,-0.2761
27,深圳能源,2018,2,2018-08-23,134700.0,94800.0,0.4209
27,深圳能源,2018,4,2019-01-24,73068.0,84600.0,-0.1363
27,深圳能源,2019,1,2019-04-13,147749.2308,117606.6667,0.2563
27,深圳能源,2019,4,2020-04-30,170121.679,153433.3333,0.1088
28,国药一致,2016,2,2016-08-18,97797.6519,90979.2104,0.0749
28,国药一致,2016,4,2017-03-21,118660.19,92308.0105,0.2855
28,国药一致,2017,1,2017-04-29,132634.1739,114140.3395,0.162
28,国药一致,2017,2,2017-08-24,124343.4327,131735.8813,-0.0561
28,国药一致,2017,3,2017-10-26,118509.7308,123600.4785,-0.0412
28,国药一致,2017,4,2018-03-22,105779.1931,116633.7778,-0.0931
28,国药一致,2018,2,2018-08-24,122629.6,117734.92,0.0416
28,国药一致,2018,4,2019-03-21,120536.57,119094.116,0.0121
28,国药一致,2019,4,2020-03-25,127128.92,129646.2433,-0.0194
30,富奥股份,2017,1,2017-04-28,86985.3333,82318.0,0.0567
30,富奥股份,2017,4,2018-04-26,83154.7594,87816.9015,-0.0531
30,富奥股份,2018,3,2018-10-30,88719.079,99580.366,-0.1091
30,富奥股份,2019,2,2019-08-28,99340.183,92900.0,0.0693
30,富奥股份,2019,4,2020-03-04,90000.0,99580.366,-0.0962
31,中粮地产,2016,4,2017-03-18,72015.3948,170451.379,-0.5775
31,中粮地产,2018,2,2018-08-29,117728.5714,129086.5,-0.088
31,大悦城,2018,4,2019-04-04,138876.9282,160000.0,-0.132
31,大悦城,2019,1,2019-04-12,270600.0,180000.0,0.5033
31,大悦城,2019,2,2019-07-13,250238.0894,191980.0,0.3035
31,大悦城,2019,3,2019-10-15,276148.3448,267842.2105,0.031
31,大悦城,2019,4,2020-01-20,255000.0,285496.9514,-0.1068
34,神州数码,2016,1,2016-04-29,40400.0,37300.0,0.0831
34,神州数码,2016,2,2016-08-30,45294.2033,40600.0,0.1156
34,神州数码,2016,3,2016-10-15,47774.2408,44207.8847,0.0807
34,神州数码,2016,4,2017-01-25,40600.0,46184.4801,-0.1209
34,神州数码,2017,2,2017-08-18,45457.0323,43142.8571,0.0536
34,神州数码,2017,4,2018-01-30,65500.0,45393.4618,0.4429
34,神州数码,2018,2,2018-08-30,67639.0873,76090.5396,-0.1111
34,神州数码,2019,3,2019-10-23,68394.2857,64567.3333,0.0593
34,神州数码,2019,4,2020-03-31,70141.0698,65682.726,0.0679
35,中国天楹,2016,2,2016-08-27,28556.0322,31298.8144,-0.0876
35,中国天楹,2016,4,2017-04-17,21172.4505,28744.2027,-0.2634
35,中国天楹,2017,1,2017-04-28,34096.9083,38035.7539,-0.1036
35,中国天楹,2017,2,2017-08-31,30367.7778,33689.876,-0.0986
35,中国天楹,2017,3,2017-10-31,31866.6667,29926.0,0.0648
35,中国天楹,2017,4,2018-04-18,22226.9198,32000.0,-0.3054
35,中国天楹,2018,2,2018-08-29,30172.6907,28039.4535,0.0761
35,中国天楹,2018,4,2019-04-15,21381.46,31000.0,-0.3103
36,华联控股,2016,2,2016-04-30,135057.1692,156926.4571,-0.1394
36,华联控股,2016,3,2016-10-31,120000.0,131276.575,-0.0859
36,华联控股,2016,4,2017-04-15,125501.6579,120000.0,0.0458
36,华联控股,2017,2,2017-08-31,161137.3621,171223.5,-0.0589
36,华联控股,2017,4,2018-04-14,135428.6662,149511.0,-0.0942
36,华联控股,2018,1,2018-04-28,102230.0,178072.0,-0.4259
36,华联控股,2018,4,2019-03-20,100028.2687,102733.894,-0.0263
38,深大通,2016,4,2017-01-17,22000.0,19930.8891,0.1038
39,中集集团,2016,1,2016-04-29,257526.6885,283538.989,-0.0917
39,中集集团,2016,2,2016-07-15,180174.6727,222114.32,-0.1888
39,中集集团,2016,3,2016-10-15,61240.2222,63779.875,-0.0398
39,中集集团,2016,4,2017-03-28,53966.0,47579.1122,0.1342
39,中集集团,2017,2,2017-07-15,224965.6155,220363.1155,0.0209
39,中集集团,2017,3,2017-10-14,266376.0956,255587.3846,0.0422
39,中集集团,2017,4,2018-03-28,250924.2,262999.8659,-0.0459
39,中集集团,2018,2,2018-08-29,280957.1369,302461.7907,-0.0711
39,中集集团,2018,4,2019-03-28,338043.6,280100.0,0.2069
39,中集集团,2019,1,2019-04-30,283920.0213,293239.3448,-0.0318
39,中集集团,2019,2,2019-08-28,210489.375,294402.5,-0.285
39,中集集团,2019,3,2019-10-16,202860.9091,218633.5714,-0.0721
39,中集集团,2019,4,2020-01-23,180000.0,184330.0,-0.0235
40,东旭蓝天,2016,2,2016-08-27,8687.0,9082.3333,-0.0435
40,东旭蓝天,2017,4,2018-01-30,53500.0,41000.0,0.3049
40,东旭蓝天,2018,1,2018-04-27,150740.0,111657.1429,0.35
40,东旭蓝天,2018,2,2018-07-13,154683.8657,141990.3194,0.0894
42,中洲控股,2016,1,2016-04-12,57312.0588,60267.5,-0.049
42,中洲控股,2016,2,2016-07-30,46700.0,54045.0,-0.1359
42,中洲控股,2016,3,2016-08-30,51399.008,46700.0,0.1006
42,中洲控股,2016,4,2017-04-29,26053.2556,54345.0,-0.5206
42,中洲控股,2017,2,2017-08-29,46970.0,42280.0,0.1109
42,中洲控股,2017,3,2017-10-27,59580.0,46970.0,0.2685
42,中洲控股,2017,4,2018-04-14,62610.1,58744.0,0.0658
42,中洲控股,2018,4,2019-04-13,44669.0332,101100.0,-0.5582
42,中洲控股,2019,1,2019-04-27,61990.0,145200.0,-0.5731
43,中航地产,2016,4,2017-01-24,22000.0,47600.0,-0.5378
43,中航地产,2017,2,2017-07-12,38656.0,25730.0,0.5024
43,中航地产,2017,3,2017-10-14,31306.0,34981.0,-0.1051
43,中航地产,2017,4,2018-01-31,44000.0,31700.0,0.388
43,中航善达,2019,2,2019-08-10,41208.0,22982.6667,0.793
45,深纺织A,2017,4,2018-01-10,5145.0,6040.0,-0.1482
45,深纺织A,2018,4,2019-04-13,-2298.06,-1875.0,-0.2256
46,泛海控股,2016,1,2016-04-28,291352.0,311400.0,-0.0644
46,泛海控股,2016,2,2016-08-27,273246.6667,281735.5556,-0.0301
46,泛海控股,2016,4,2017-01-24,304229.66,273400.0,0.1128
49,德赛电池,2016,3,2016-10-27,22932.7693,24527.5947,-0.065
49,德赛电池,2016,4,2017-01-18,24600.0,22358.28,0.1003
49,德赛电池,2017,3,2017-10-31,35928.06,37548.75,-0.0432
49,德赛电池,2017,4,2018-01-16,31900.0,33767.7521,-0.0553
49,德赛电池,2018,2,2018-07-25,35512.0,33500.0,0.0601
49,德赛电池,2018,3,2018-10-13,38041.2,34206.0,0.1121
49,德赛电池,2019,4,2020-01-16,47000.0,46600.0,0.0086
50,深天马A,2016,1,2016-04-30,69016.0952,72473.6,-0.0477
50,深天马A,2016,2,2016-08-25,71917.1542,76235.7909,-0.0566
50,深天马A,2016,4,2017-03-03,56917.7393,71100.0,-0.1995
50,深天马A,2017,1,2017-04-01,111793.3636,102470.0,0.091
50,深天马A,2017,2,2017-07-13,116829.7193,100221.9643,0.1657
50,深天马A,2017,3,2017-10-12,133591.1975,143071.145,-0.0663
50,深天马A,2017,4,2018-03-01,80720.4316,182193.3333,-0.557
50,深天马A,2018,1,2018-04-20,197836.9848,187531.4712,0.055
50,深天马A,2018,3,2018-10-26,176265.3333,187747.0,-0.0612
50,深天马A,2018,4,2019-03-15,92554.2329,171409.6803,-0.46
50,深天马A,2019,2,2019-08-21,139093.1905,132412.2,0.0505
50,深天马A,2019,4,2020-03-18,82936.4995,119673.8778,-0.307
55,方大集团,2016,4,2017-01-12,71000.0,71500.0,-0.007
56,皇庭国际,2016,1,2016-04-27,17635.407,20554.0,-0.142
56,皇庭国际,2016,2,2016-08-27,16561.8923,27862.5771,-0.4056
56,皇庭国际,2016,4,2017-04-15,11669.5331,12625.6335,-0.0757
56,皇庭国际,2017,2,2017-08-29,28500.0,33285.7612,-0.1438
56,皇庭国际,2017,4,2018-01-31,21000.0,28500.0,-0.2632
58,深赛格,2017,4,2018-04-18,21955.3261,21000.0,0.0455
58,深赛格,2019,4,2020-04-15,7093.9579,6500.0,0.0914
59,华锦股份,2016,1,2016-04-11,125364.0,112216.0,0.1172
59,华锦股份,2016,2,2016-07-12,167354.1338,159443.3448,0.0496
59,华锦股份,2016,3,2016-10-21,154073.7282,164568.6741,-0.0638
59,华锦股份,2016,4,2016-12-28,180000.0,160775.4938,0.1196
