股票代码,公司简称,统计日期,发布时间,预告类型
2151,北斗星通,2016-06-30,2016-04-27,扭亏
2151,北斗星通,2016-09-30,2016-08-24,扭亏
2151,北斗星通,2016-12-31,2017-01-12,续盈
2151,北斗星通,2017-03-31,2017-03-30,扭亏
2151,北斗星通,2017-06-30,2017-04-29,预增
2151,北斗星通,2017-09-30,2017-08-24,略增
2151,北斗星通,2017-12-31,2017-10-27,预增
2151,北斗星通,2018-03-31,2018-03-30,略增
2151,北斗星通,2018-06-30,2018-07-14,预增
2151,北斗星通,2018-09-30,2018-10-13,略减
2151,北斗星通,2018-12-31,2018-10-23,续盈
2151,北斗星通,2019-03-31,2019-04-13,首亏
2151,北斗星通,2019-06-30,2019-07-13,首亏
2151,北斗星通,2019-09-30,2019-10-15,预减
2151,北斗星通,2019-12-31,2020-01-11,首亏
2152,广电运通,2016-06-30,2016-04-29,略增
2152,广电运通,2016-09-30,2016-08-27,续盈
2152,广电运通,2016-12-31,2016-10-22,续盈
2152,广电运通,2017-06-30,2017-04-27,略增
2152,广电运通,2017-09-30,2017-08-26,略增
2152,广电运通,2017-12-31,2017-10-31,略增
2152,广电运通,2018-06-30,2018-04-25,略减
2152,广电运通,2018-09-30,2018-08-22,略减
2152,广电运通,2018-12-31,2018-10-29,略减
2153,石基信息,2016-06-30,2016-04-29,略增
2153,石基信息,2016-09-30,2016-08-24,续盈
2153,石基信息,2016-12-31,2016-10-26,续盈
2153,石基信息,2017-06-30,2017-04-27,续盈
2153,石基信息,2017-09-30,2017-08-24,续盈
2153,石基信息,2017-12-31,2017-10-27,续盈
2153,石基信息,2018-06-30,2018-04-27,续盈
2153,石基信息,2018-09-30,2018-08-30,续盈
2153,石基信息,2018-12-31,2018-10-27,略增
2154,报喜鸟,2016-03-31,2016-03-31,预减
2154,报喜鸟,2016-06-30,2016-04-29,首亏
2154,报喜鸟,2016-09-30,2016-08-26,首亏
2154,报喜鸟,2016-12-31,2016-10-29,首亏
2154,报喜鸟,2017-06-30,2017-04-27,减亏
2154,报喜鸟,2017-09-30,2017-08-19,续亏
2154,报喜鸟,2017-12-31,2017-10-28,扭亏
2154,报喜鸟,2018-03-31,2018-03-31,预增
2154,报喜鸟,2018-06-30,2018-04-28,扭亏
2154,报喜鸟,2018-09-30,2018-08-25,扭亏
2154,报喜鸟,2018-12-31,2018-11-20,预增
2154,报喜鸟,2019-03-31,2019-03-30,预增
2154,报喜鸟,2019-06-30,2019-04-27,预增
2154,报喜鸟,2019-09-30,2019-08-24,预增
2154,报喜鸟,2019-12-31,2019-10-31,预增
2155,湖南黄金,2016-03-31,2016-04-12,减亏
2155,湖南黄金,2016-06-30,2016-07-14,预增
2155,湖南黄金,2016-09-30,2016-08-23,预增
2155,湖南黄金,2016-12-31,2016-10-26,预增
2155,湖南黄金,2017-03-31,2017-03-14,扭亏
2155,湖南黄金,2017-06-30,2017-04-26,预增
2155,湖南黄金,2017-09-30,2017-08-29,预增
2155,湖南黄金,2017-12-31,2017-10-28,预增
2155,湖南黄金,2018-06-30,2018-04-27,续盈
2155,湖南黄金,2018-09-30,2018-08-21,续盈
2155,湖南黄金,2018-12-31,2018-10-26,续盈
2155,湖南黄金,2019-12-31,2019-10-25,预减
2156,通富微电,2016-06-30,2016-04-28,略增
2156,通富微电,2016-09-30,2016-08-27,续盈
2156,通富微电,2016-12-31,2016-10-29,略增
2156,通富微电,2017-06-30,2017-04-27,略增
2156,通富微电,2017-09-30,2017-08-26,略增
2156,通富微电,2018-06-30,2018-04-28,续盈
2156,通富微电,2018-09-30,2018-08-30,预增
2156,通富微电,2018-12-31,2019-01-31,略增
2156,通富微电,2019-03-31,2019-03-30,首亏
2156,通富微电,2019-06-30,2019-07-13,首亏
2156,通富微电,2019-09-30,2019-10-08,首亏
2156,通富微电,2019-12-31,2020-01-31,预减
2157,正邦科技,2016-03-31,2016-04-12,扭亏
2157,正邦科技,2016-06-30,2016-06-16,预增
2157,正邦科技,2016-09-30,2016-08-15,预增
2157,正邦科技,2016-12-31,2016-10-26,预增
2157,正邦科技,2017-06-30,2017-04-18,预减
2157,正邦科技,2017-09-30,2017-08-31,预减
2157,正邦科技,2017-12-31,2017-10-30,预减
2157,正邦科技,2018-06-30,2018-07-04,首亏
2157,正邦科技,2018-09-30,2018-09-29,预减
2157,正邦科技,2018-12-31,2019-01-09,预减
2157,正邦科技,2019-03-31,2019-03-30,首亏
2157,正邦科技,2019-06-30,2019-07-12,续亏
2157,正邦科技,2019-09-30,2019-10-12,预增
2157,正邦科技,2019-12-31,2020-01-20,预增
2158,汉钟精机,2016-06-30,2016-04-27,续盈
2158,汉钟精机,2016-09-30,2016-08-23,续盈
2158,汉钟精机,2016-12-31,2016-10-25,续盈
2158,汉钟精机,2017-06-30,2017-04-28,略增
2158,汉钟精机,2017-09-30,2017-08-26,略增
2158,汉钟精机,2017-12-31,2017-10-28,略增
2158,汉钟精机,2018-06-30,2018-04-25,续盈
2158,汉钟精机,2018-09-30,2018-08-25,续盈
2158,汉钟精机,2018-12-31,2018-10-20,续盈
2159,三特索道,2016-03-31,2016-03-24,减亏
2159,三特索道,2016-06-30,2016-04-29,减亏
2159,三特索道,2016-09-30,2016-08-18,减亏
2159,三特索道,2016-12-31,2017-01-26,首亏
2159,三特索道,2017-03-31,2017-03-15,续亏
2159,三特索道,2017-06-30,2017-04-27,续亏
2159,三特索道,2017-12-31,2017-10-28,扭亏
2159,三特索道,2018-03-31,2018-03-16,续亏
2159,三特索道,2018-06-30,2018-04-28,扭亏
2159,三特索道,2018-09-30,2018-08-29,预增
2159,三特索道,2018-12-31,2018-10-24,预增
2159,三特索道,2019-03-31,2019-03-30,续亏
2159,三特索道,2019-06-30,2019-07-13,首亏
2159,三特索道,2019-09-30,2019-10-15,预减
2159,三特索道,2019-12-31,2020-01-23,预减
2160,常铝股份,2016-03-31,2016-03-31,预减
2160,常铝股份,2016-06-30,2016-04-29,略减
2160,常铝股份,2016-09-30,2016-08-19,略增
2160,常铝股份,2016-12-31,2016-10-28,略增
2160,常铝股份,2017-03-31,2017-03-31,预增
2160,常铝股份,2017-06-30,2017-04-27,预增
2160,常铝股份,2017-09-30,2017-08-18,预增
2160,常铝股份,2017-12-31,2017-10-31,续盈
2160,常铝股份,2018-06-30,2018-07-14,预减
2160,常铝股份,2018-09-30,2018-08-25,预减
2160,常铝股份,2018-12-31,2018-12-29,首亏
2160,常铝股份,2019-03-31,2019-03-30,首亏
2160,常铝股份,2019-06-30,2019-04-26,预减
2160,常铝股份,2019-09-30,2019-10-15,预减
2160,常铝股份,2019-12-31,2020-01-31,扭亏
2161,远望谷,2016-06-30,2016-07-15,首亏
2161,远望谷,2016-09-30,2016-08-29,首亏
2161,远望谷,2016-12-31,2016-10-29,预增
2161,远望谷,2017-03-31,2017-03-31,首亏
2161,远望谷,2017-06-30,2017-04-28,续亏
2161,远望谷,2017-09-30,2017-08-29,续亏
2161,远望谷,2018-03-31,2018-03-31,续亏
2161,远望谷,2018-06-30,2018-07-14,续亏
2161,远望谷,2018-09-30,2018-08-30,续亏
2161,远望谷,2018-12-31,2019-01-31,首亏
2161,远望谷,2019-03-31,2019-03-30,扭亏
2161,远望谷,2019-06-30,2019-07-13,扭亏
2161,远望谷,2019-09-30,2019-10-15,扭亏
2161,远望谷,2019-12-31,2020-01-21,扭亏
2162,悦心健康,2016-03-31,2016-03-30,减亏
2162,悦心健康,2016-06-30,2016-07-07,减亏
2162,悦心健康,2016-09-30,2016-08-27,扭亏
2162,悦心健康,2016-12-31,2016-10-27,续盈
2162,悦心健康,2017-03-31,2017-03-29,减亏
2162,悦心健康,2017-06-30,2017-07-08,扭亏
2162,悦心健康,2017-09-30,2017-08-03,预增
2162,悦心健康,2017-12-31,2017-10-30,预增
2162,悦心健康,2018-03-31,2018-02-28,续亏
2162,悦心健康,2018-06-30,2018-04-27,续盈
2162,悦心健康,2018-09-30,2018-08-24,续盈
2162,悦心健康,2018-12-31,2018-10-27,续盈
2162,悦心健康,2019-03-31,2019-02-28,续亏
2162,悦心健康,2019-06-30,2019-07-04,预增
2162,悦心健康,2019-09-30,2019-10-10,预增
2162,悦心健康,2019-12-31,2020-01-22,预增
2163,海南发展,2016-03-31,2016-03-31,减亏
2163,海南发展,2016-06-30,2016-04-28,减亏
2163,海南发展,2016-09-30,2016-08-22,减亏
2163,海南发展,2016-12-31,2017-01-25,扭亏
2163,海南发展,2017-03-31,2017-03-31,续亏
2163,海南发展,2017-06-30,2017-04-21,续亏
2163,海南发展,2017-09-30,2017-08-28,续亏
2163,海南发展,2018-03-31,2018-03-30,续亏
2163,海南发展,2018-06-30,2018-04-24,续亏
2163,海南发展,2018-09-30,2018-08-29,续亏
2163,海南发展,2018-12-31,2019-01-26,扭亏
2163,海南发展,2019-03-31,2019-03-08,续亏
2163,海南发展,2019-06-30,2019-07-10,续亏
2163,海南发展,2019-09-30,2019-10-12,扭亏
2163,海南发展,2019-12-31,2020-01-11,预增
2164,宁波东力,2016-03-31,2016-03-30,续亏
2164,宁波东力,2016-06-30,2016-04-27,扭亏
2164,宁波东力,2016-09-30,2016-08-26,预增
2164,宁波东力,2016-12-31,2016-10-27,续盈
2164,宁波东力,2017-03-31,2017-03-31,扭亏
2164,宁波东力,2017-06-30,2017-04-28,预增
2164,宁波东力,2017-09-30,2017-08-19,预增
2164,宁波东力,2017-12-31,2017-10-28,预增
2164,宁波东力,2018-03-31,2018-03-30,预增
2164,宁波东力,2018-06-30,2018-07-14,首亏
2164,宁波东力,2018-09-30,2018-08-29,首亏
2164,宁波东力,2018-12-31,2018-12-29,首亏
2164,宁波东力,2019-03-31,2019-04-13,续盈
2164,宁波东力,2019-06-30,2019-04-27,扭亏
2164,宁波东力,2019-09-30,2019-08-17,扭亏
2164,宁波东力,2019-12-31,2020-01-23,扭亏
2165,红宝丽,2016-06-30,2016-04-21,略增
2165,红宝丽,2016-09-30,2016-07-29,续盈
2165,红宝丽,2016-12-31,2016-10-22,略增
2165,红宝丽,2017-06-30,2017-04-28,略减
2165,红宝丽,2017-09-30,2017-07-29,略减
2165,红宝丽,2017-12-31,2017-10-20,预减
2165,红宝丽,2018-03-31,2018-03-29,预减
2165,红宝丽,2018-06-30,2018-04-20,预减
2165,红宝丽,2018-09-30,2018-08-23,预减
2165,红宝丽,2018-12-31,2018-10-30,预减
2165,红宝丽,2019-03-31,2019-03-29,预增
2165,红宝丽,2019-06-30,2019-04-24,预增
2165,红宝丽,2019-09-30,2019-08-23,预增
2165,红宝丽,2019-12-31,2019-10-23,预增
2166,莱茵生物,2016-06-30,2016-04-30,预增
2166,莱茵生物,2016-09-30,2016-08-26,略减
2166,莱茵生物,2016-12-31,2017-01-07,续盈
2166,莱茵生物,2017-06-30,2017-04-27,预增
2166,莱茵生物,2017-09-30,2017-08-16,预增
2166,莱茵生物,2018-06-30,2018-04-27,续盈
2166,莱茵生物,2018-09-30,2018-08-27,续盈
2166,莱茵生物,2018-12-31,2018-10-29,预减
2166,莱茵生物,2019-06-30,2019-04-29,预减
2166,莱茵生物,2019-12-31,2020-01-21,略增
2167,东方锆业,2016-03-31,2016-03-31,减亏
2167,东方锆业,2016-06-30,2016-04-28,减亏
2167,东方锆业,2016-09-30,2016-08-22,不确定
2167,东方锆业,2016-12-31,2016-10-21,扭亏
2167,东方锆业,2017-03-31,2017-03-31,不确定
2167,东方锆业,2017-06-30,2017-04-27,扭亏
2167,东方锆业,2017-09-30,2017-08-30,预增
2167,东方锆业,2017-12-31,2017-10-31,略增
2167,东方锆业,2018-03-31,2018-03-19,预增
2167,东方锆业,2018-06-30,2018-07-14,续盈
2167,东方锆业,2018-09-30,2018-08-24,略减
2167,东方锆业,2018-12-31,2019-01-31,扭亏
2167,东方锆业,2019-12-31,2020-02-03,首亏
2168,惠程科技,2016-03-31,2016-03-31,首亏
2168,惠程科技,2016-06-30,2016-07-13,首亏
2168,惠程科技,2016-09-30,2016-10-15,预减
2168,惠程科技,2016-12-31,2017-01-13,预减
2168,惠程科技,2017-03-31,2017-03-31,减亏
2168,惠程科技,2017-06-30,2017-07-15,续亏
2168,惠程科技,2018-06-30,2018-04-17,扭亏
2168,惠程科技,2018-09-30,2018-08-21,扭亏
2168,惠程科技,2018-12-31,2019-01-31,扭亏
2168,惠程科技,2019-03-31,2019-03-30,预减
2168,惠程科技,2019-06-30,2019-07-05,预减
2168,惠程科技,2019-09-30,2019-10-15,预减
2168,惠程科技,2019-12-31,2020-01-22,预减
2169,智光电气,2016-03-31,2016-03-15,大增
2169,智光电气,2016-06-30,2016-04-27,预增
2169,智光电气,2016-09-30,2016-07-30,预增
2169,智光电气,2016-12-31,2017-01-26,略增
2169,智光电气,2017-03-31,2017-03-30,略增
2169,智光电气,2017-06-30,2017-04-28,略增
2169,智光电气,2017-09-30,2017-08-30,续盈
2169,智光电气,2017-12-31,2017-10-30,续盈
2169,智光电气,2018-03-31,2018-03-31,略增
2169,智光电气,2018-06-30,2018-04-27,略增
2169,智光电气,2018-09-30,2018-08-28,略增
2169,智光电气,2018-12-31,2019-01-31,略减
2170,芭田股份,2016-06-30,2016-07-05,续盈
2170,芭田股份,2016-09-30,2016-09-14,略增
2170,芭田股份,2016-12-31,2017-02-03,略减
2170,芭田股份,2017-03-31,2017-03-31,预减
2170,芭田股份,2017-06-30,2017-04-28,预减
2170,芭田股份,2017-09-30,2017-08-29,预减
2170,芭田股份,2018-03-31,2018-03-31,首亏
2170,芭田股份,2018-06-30,2018-04-28,不确定
2170,芭田股份,2018-09-30,2018-08-23,预减
2170,芭田股份,2018-12-31,2019-04-20,扭亏
2170,芭田股份,2019-03-31,2019-03-30,不确定
2170,芭田股份,2019-12-31,2020-01-23,预增
2171,楚江新材,2016-03-31,2016-04-13,扭亏
2171,楚江新材,2016-06-30,2016-07-13,预增
2171,楚江新材,2016-09-30,2016-10-12,预增
2171,楚江新材,2016-12-31,2016-10-25,预增
2171,楚江新材,2017-03-31,2017-03-30,预增
2171,楚江新材,2017-06-30,2017-04-25,预增
2171,楚江新材,2017-12-31,2017-10-27,预增
2171,楚江新材,2018-06-30,2018-04-25,略增
2171,楚江新材,2018-09-30,2018-07-31,略增
2171,楚江新材,2018-12-31,2018-10-25,略增
2172,澳洋健康,2016-03-31,2016-04-14,扭亏
2172,澳洋健康,2016-06-30,2016-07-15,预增
2172,澳洋健康,2016-09-30,2016-10-15,预增
2172,澳洋健康,2016-12-31,2016-10-27,预增
2172,澳洋健康,2017-03-31,2017-03-16,预增
2172,澳洋健康,2017-06-30,2017-04-25,续盈
2172,澳洋健康,2017-09-30,2017-08-25,续盈
2172,澳洋健康,2018-03-31,2018-03-31,预减
2172,澳洋健康,2018-06-30,2018-07-14,预减
2172,澳洋健康,2018-09-30,2018-08-23,预减
2172,澳洋健康,2018-12-31,2019-01-26,预减
2172,澳洋健康,2019-03-31,2019-03-30,首亏
2172,澳洋健康,2019-06-30,2019-07-13,首亏
2172,澳洋健康,2019-09-30,2019-10-15,首亏
2172,澳洋健康,2019-12-31,2020-01-23,首亏
2173,创新医疗,2016-03-31,2016-03-26,扭亏
2173,创新医疗,2016-06-30,2016-04-30,扭亏
2173,创新医疗,2016-09-30,2016-08-18,扭亏
2173,创新医疗,2016-12-31,2016-10-26,扭亏
2173,创新医疗,2017-03-31,2017-03-31,略减
2173,创新医疗,2017-06-30,2017-07-13,续盈
2173,创新医疗,2017-09-30,2017-08-24,略增
2173,创新医疗,2017-12-31,2017-10-31,略增
2173,创新医疗,2018-03-31,2018-04-19,预增
2173,创新医疗,2018-06-30,2018-04-27,预增
2173,创新医疗,2018-09-30,2018-08-21,预增
2173,创新医疗,2018-12-31,2019-01-31,预减
2173,创新医疗,2019-06-30,2019-07-13,首亏
2173,创新医疗,2019-09-30,2019-08-31,首亏
2173,创新医疗,2019-12-31,2019-10-30,首亏
2174,游族网络,2016-06-30,2016-04-29,略增
2174,游族网络,2016-09-30,2016-08-24,略增
2174,游族网络,2016-12-31,2016-10-26,略增
2174,游族网络,2017-03-31,2017-03-29,预增
2174,游族网络,2017-06-30,2017-04-25,预增
2174,游族网络,2017-09-30,2017-08-24,略增
2174,游族网络,2017-12-31,2017-10-31,略增
2174,游族网络,2018-06-30,2018-04-26,预增
2174,游族网络,2018-09-30,2018-08-29,预增
2174,游族网络,2018-12-31,2018-10-26,预增
2174,游族网络,2019-09-30,2019-08-31,略增
2175,东方网络,2016-03-31,2016-04-25,预增
2175,东方网络,2016-06-30,2016-04-28,预增
2175,东方网络,2016-09-30,2016-08-25,预增
2175,东方网络,2016-12-31,2016-10-29,预增
2175,东方网络,2017-03-31,2017-03-30,预增
2175,东方网络,2017-06-30,2017-07-10,预增
2175,东方网络,2017-09-30,2017-08-23,预增
2175,东方网络,2018-03-31,2018-03-31,首亏
2175,东方网络,2018-06-30,2018-07-14,首亏
2175,东方网络,2018-09-30,2018-08-22,首亏
2175,东方网络,2018-12-31,2019-01-31,续亏
2175,东方网络,2019-03-31,2019-03-30,续亏
2175,东方网络,2019-06-30,2019-04-29,续亏
2175,东方网络,2019-09-30,2019-10-15,续亏
2175,东方网络,2019-12-31,2020-01-23,扭亏
2176,江特电机,2016-03-31,2016-03-29,预增
2176,江特电机,2016-06-30,2016-04-26,预增
2176,江特电机,2016-09-30,2016-08-25,预增
2176,江特电机,2016-12-31,2016-10-21,预增
2176,江特电机,2017-03-31,2017-03-07,略增
2176,江特电机,2017-06-30,2017-06-28,略减
2176,江特电机,2017-09-30,2017-08-08,略增
2176,江特电机,2017-12-31,2017-10-21,预增
2176,江特电机,2018-03-31,2018-02-08,预增
2176,江特电机,2018-06-30,2018-04-21,预增
2176,江特电机,2018-09-30,2018-08-21,预增
2176,江特电机,2018-12-31,2019-01-31,首亏
2176,江特电机,2019-03-31,2019-03-26,预减
2176,江特电机,2019-06-30,2019-04-26,预减
2176,江特电机,2019-09-30,2019-08-24,预减
2176,江特电机,2019-12-31,2020-01-23,续亏
2177,御银股份,2016-06-30,2016-04-13,略增
2177,御银股份,2016-09-30,2016-08-27,略减
2177,御银股份,2016-12-31,2016-10-25,预减
2177,御银股份,2017-06-30,2017-04-28,预减
2177,御银股份,2017-09-30,2017-08-30,预减
2177,御银股份,2017-12-31,2017-10-27,预减
2177,御银股份,2018-03-31,2018-03-31,预减
2177,御银股份,2018-06-30,2018-04-26,预减
2177,御银股份,2018-09-30,2018-08-24,预减
2177,御银股份,2018-12-31,2018-10-30,首亏
2177,御银股份,2019-03-31,2019-03-29,预增
2177,御银股份,2019-06-30,2019-07-11,预增
2177,御银股份,2019-09-30,2019-10-12,预增
2177,御银股份,2019-12-31,2020-01-08,扭亏
2178,延华智能,2016-03-31,2016-03-31,预增
2178,延华智能,2016-06-30,2016-04-25,略增
2178,延华智能,2016-09-30,2016-10-15,略减
2178,延华智能,2016-12-31,2017-01-26,预减
2178,延华智能,2017-03-31,2017-03-31,首亏
2178,延华智能,2017-06-30,2017-07-14,首亏
2178,延华智能,2017-09-30,2017-08-29,首亏
2178,延华智能,2017-12-31,2017-10-26,预减
2178,延华智能,2018-03-31,2018-03-29,扭亏
2178,延华智能,2018-06-30,2018-04-26,扭亏
2178,延华智能,2018-09-30,2018-08-30,扭亏
2178,延华智能,2018-12-31,2019-01-30,首亏
2178,延华智能,2019-03-31,2019-03-30,首亏
2178,延华智能,2019-06-30,2019-07-13,首亏
2178,延华智能,2019-09-30,2019-10-15,首亏
2178,延华智能,2019-12-31,2020-01-23,扭亏
2179,中航光电,2016-03-31,2016-04-15,预增
2179,中航光电,2016-06-30,2016-04-29,预增
2179,中航光电,2016-09-30,2016-08-26,略增
2179,中航光电,2016-12-31,2016-10-28,略增
2179,中航光电,2017-06-30,2017-04-28,略增
2179,中航光电,2017-09-30,2017-08-31,略增
2179,中航光电,2017-12-31,2017-10-27,略增
2179,中航光电,2018-06-30,2018-04-27,略增
2179,中航光电,2018-09-30,2018-08-25,略增
2179,中航光电,2018-12-31,2018-10-26,略增
2180,纳思达,2016-06-30,2016-04-27,续盈
2180,纳思达,2016-09-30,2016-08-31,续盈
2180,纳思达,2016-12-31,2016-10-31,预减
2180,纳思达,2017-03-31,2017-04-05,首亏
2180,纳思达,2017-06-30,2017-04-29,首亏
2180,纳思达,2017-09-30,2017-08-31,首亏
2180,纳思达,2018-03-31,2018-03-30,扭亏
2180,纳思达,2018-06-30,2018-07-12,扭亏
2180,纳思达,2018-09-30,2018-08-31,扭亏
2180,纳思达,2018-12-31,2018-10-30,续盈
2180,纳思达,2019-03-31,2019-03-30,续盈
2180,纳思达,2019-06-30,2019-07-15,略增
2180,纳思达,2019-09-30,2019-10-15,预增
2181,粤传媒,2016-03-31,2016-04-19,首亏
2181,粤传媒,2016-06-30,2016-04-30,首亏
2181,粤传媒,2016-09-30,2016-08-26,首亏
2181,粤传媒,2016-12-31,2017-01-17,扭亏
2181,粤传媒,2017-03-31,2017-04-01,续亏
2181,粤传媒,2017-06-30,2017-04-26,减亏
2181,粤传媒,2017-09-30,2017-08-23,续亏
2181,粤传媒,2017-12-31,2017-10-27,预减
2181,粤传媒,2018-03-31,2018-03-31,续亏
2181,粤传媒,2018-06-30,2018-07-14,扭亏
2181,粤传媒,2018-09-30,2018-08-30,扭亏
2181,粤传媒,2018-12-31,2019-01-31,续盈
2181,粤传媒,2019-03-31,2019-03-05,扭亏
2181,粤传媒,2019-06-30,2019-07-13,预增
2181,粤传媒,2019-09-30,2019-10-15,预增
2181,粤传媒,2019-12-31,2020-01-22,预增
2182,云海金属,2016-03-31,2016-03-08,预增
2182,云海金属,2016-06-30,2016-07-07,预增
2182,云海金属,2016-09-30,2016-07-30,预增
2182,云海金属,2016-12-31,2016-10-22,预增
2182,云海金属,2017-03-31,2017-03-30,预增
2182,云海金属,2017-06-30,2017-04-26,预增
2182,云海金属,2017-09-30,2017-07-28,略增
2182,云海金属,2017-12-31,2017-10-27,续盈
2182,云海金属,2018-03-31,2018-03-29,续盈
2182,云海金属,2018-06-30,2018-04-24,预增
2182,云海金属,2018-09-30,2018-07-31,预增
2182,云海金属,2018-12-31,2018-10-25,预增
2182,云海金属,2019-03-31,2019-03-21,略减
2182,云海金属,2019-06-30,2019-07-09,预增
2182,云海金属,2019-09-30,2019-07-26,预增
2182,云海金属,2019-12-31,2020-01-20,预增
2183,怡亚通,2016-06-30,2016-04-30,略增
2183,怡亚通,2016-09-30,2016-08-26,略增
2183,怡亚通,2016-12-31,2016-10-29,略增
2183,怡亚通,2017-06-30,2017-04-28,略增
2183,怡亚通,2017-09-30,2017-08-25,略增
2183,怡亚通,2017-12-31,2017-10-28,略增
2183,怡亚通,2018-06-30,2018-04-28,略增
2183,怡亚通,2018-09-30,2018-08-29,续盈
2183,怡亚通,2018-12-31,2018-10-30,预减
2183,怡亚通,2019-03-31,2019-03-29,预减
2183,怡亚通,2019-06-30,2019-04-27,预减
2183,怡亚通,2019-09-30,2019-08-02,预减
2183,怡亚通,2019-12-31,2019-10-30,预减
2184,海得控制,2016-03-31,2016-03-22,略增
2184,海得控制,2016-06-30,2016-07-15,预减
2184,海得控制,2016-09-30,2016-07-29,预减
2184,海得控制,2016-12-31,2016-10-25,预减
2184,海得控制,2017-03-31,2017-03-31,首亏
2184,海得控制,2017-06-30,2017-04-20,预减
2184,海得控制,2017-09-30,2017-07-29,续盈
2184,海得控制,2018-03-31,2018-03-31,续亏
2184,海得控制,2018-06-30,2018-07-14,首亏
2184,海得控制,2018-09-30,2018-07-31,首亏
2184,海得控制,2018-12-31,2019-01-31,首亏
2184,海得控制,2019-03-31,2019-03-30,续亏
2184,海得控制,2019-06-30,2019-04-27,扭亏
2184,海得控制,2019-09-30,2019-08-17,扭亏
2184,海得控制,2019-12-31,2020-01-31,扭亏
2185,华天科技,2016-06-30,2016-04-27,略增
2185,华天科技,2016-09-30,2016-08-25,略增
2185,华天科技,2016-12-31,2016-10-29,略增
2185,华天科技,2017-06-30,2017-04-27,略增
2185,华天科技,2017-09-30,2017-08-26,略增
2185,华天科技,2017-12-31,2017-10-21,略增
2185,华天科技,2018-06-30,2018-04-25,续盈
2185,华天科技,2018-09-30,2018-08-25,续盈
2185,华天科技,2018-12-31,2018-10-27,略减
2185,华天科技,2019-03-31,2019-03-30,预减
2185,华天科技,2019-06-30,2019-07-13,预减
2185,华天科技,2019-09-30,2019-10-15,略减
2186,全聚德,2016-06-30,2016-04-27,续盈
2186,全聚德,2016-09-30,2016-08-09,续盈
2186,全聚德,2016-12-31,2016-10-21,续盈
2186,全聚德,2017-06-30,2017-04-24,续盈
2186,全聚德,2017-09-30,2017-08-15,续盈
2186,全聚德,2017-12-31,2017-10-24,续盈
2186,全聚德,2018-06-30,2018-04-27,续盈
2186,全聚德,2018-09-30,2018-08-21,续盈
2186,全聚德,2018-12-31,2019-01-31,略减
2186,全聚德,2019-03-31,2019-03-23,预减
2186,全聚德,2019-06-30,2019-04-25,预减
2186,全聚德,2019-09-30,2019-08-20,预减
2186,全聚德,2019-12-31,2019-10-22,预减
2187,广百股份,2016-06-30,2016-04-23,略减
2187,广百股份,2016-09-30,2016-08-20,略减
2187,广百股份,2016-12-31,2016-10-22,略减
2187,广百股份,2017-06-30,2017-04-20,略增
2187,广百股份,2017-09-30,2017-08-19,略增
2187,广百股份,2017-12-31,2017-10-28,略增
2187,广百股份,2018-06-30,2018-04-21,略增
2187,广百股份,2018-09-30,2018-08-18,略增
2187,广百股份,2018-12-31,2018-10-25,略增
2188,*ST巴士,2016-03-31,2016-03-17,扭亏
2188,*ST巴士,2016-06-30,2016-07-15,扭亏
2188,*ST巴士,2016-09-30,2016-10-15,扭亏
2188,*ST巴士,2016-12-31,2016-10-29,预增
2188,*ST巴士,2017-03-31,2017-03-31,预减
2188,*ST巴士,2017-06-30,2017-04-29,预增
2188,*ST巴士,2017-09-30,2017-08-15,预增
2188,*ST巴士,2018-03-31,2018-03-30,首亏
2188,*ST巴士,2018-06-30,2018-04-28,首亏
2188,*ST巴士,2018-09-30,2018-09-04,首亏
2188,*ST巴士,2018-12-31,2018-10-31,续亏
2188,*ST巴士,2019-03-31,2019-03-05,不确定
2188,*ST巴士,2019-06-30,2019-04-30,续亏
2188,*ST巴士,2019-09-30,2019-08-31,续亏
2188,*ST巴士,2019-12-31,2020-01-23,扭亏
2189,中光学,2016-03-31,2016-03-24,续亏
2189,中光学,2016-06-30,2016-04-29,续盈
2189,中光学,2016-09-30,2016-08-23,续盈
2189,中光学,2016-12-31,2016-10-22,续盈
2189,中光学,2017-03-31,2017-03-23,扭亏
2189,中光学,2017-06-30,2017-04-25,预增
2189,中光学,2017-09-30,2017-08-25,略增
2189,中光学,2017-12-31,2017-10-25,续盈
2189,中光学,2018-06-30,2018-07-10,预增
2189,中光学,2018-09-30,2018-10-09,预增
2189,中光学,2018-12-31,2019-01-31,预增
2189,中光学,2019-03-31,2019-03-30,预增
2189,中光学,2019-06-30,2019-07-13,预增
2190,成飞集成,2016-06-30,2016-07-14,预增
2190,成飞集成,2016-09-30,2016-10-15,预增
2190,成飞集成,2016-12-31,2016-10-21,预增
2190,成飞集成,2017-03-31,2017-03-15,预减
2190,成飞集成,2017-06-30,2017-04-22,预减
2190,成飞集成,2017-09-30,2017-08-18,不确定
2190,成飞集成,2018-03-31,2018-03-31,首亏
2190,成飞集成,2018-06-30,2018-04-28,续亏
2190,成飞集成,2018-09-30,2018-08-18,续亏
2190,成飞集成,2018-12-31,2018-10-25,续亏
2190,成飞集成,2019-03-31,2019-04-13,续亏
2190,成飞集成,2019-06-30,2019-06-26,扭亏
2190,成飞集成,2019-09-30,2019-10-12,扭亏
2190,成飞集成,2019-12-31,2020-01-22,扭亏
2191,劲嘉股份,2016-06-30,2016-04-28,略增
2191,劲嘉股份,2016-09-30,2016-08-26,续盈
