股票代码,公司简称,统计日期,发布时间,预告类型
17,深中华A,2016-09-30,2016-10-15,预增
17,深中华A,2016-12-31,2017-01-24,扭亏
17,深中华A,2017-06-30,2017-07-15,首亏
17,深中华A,2017-09-30,2017-10-14,首亏
17,深中华A,2017-12-31,2018-01-31,预减
17,深中华A,2018-06-30,2018-07-13,扭亏
17,深中华A,2018-09-30,2018-10-13,扭亏
17,深中华A,2018-12-31,2019-01-31,首亏
17,深中华A,2019-06-30,2019-07-13,首亏
17,深中华A,2019-09-30,2019-10-15,预减
17,深中华A,2019-12-31,2020-01-23,续亏
18,神城A退,2016-03-31,2016-04-15,预增
18,神城A退,2016-06-30,2016-04-30,扭亏
18,神城A退,2016-09-30,2016-08-27,略增
18,神城A退,2017-06-30,2017-04-29,略增
18,神城A退,2017-12-31,2018-02-12,略增
18,神城A退,2018-03-31,2018-04-16,预增
18,神城A退,2018-09-30,2018-10-13,预减
18,神城A退,2018-12-31,2019-01-30,首亏
18,神城A退,2019-03-31,2019-04-16,首亏
19,深粮控股,2016-03-31,2016-04-15,减亏
19,深粮控股,2016-06-30,2016-07-14,首亏
19,深粮控股,2016-09-30,2016-10-14,续亏
19,深粮控股,2016-12-31,2017-01-17,扭亏
19,深粮控股,2017-03-31,2017-04-15,续亏
19,深粮控股,2017-06-30,2017-07-14,续亏
19,深粮控股,2017-09-30,2017-10-14,续亏
19,深粮控股,2017-12-31,2018-01-30,首亏
19,深粮控股,2018-03-31,2018-04-14,续亏
19,深粮控股,2018-06-30,2018-07-14,续亏
19,深粮控股,2018-09-30,2018-10-13,续亏
19,深粮控股,2018-12-31,2019-01-31,续盈
19,深粮控股,2019-03-31,2019-04-13,续盈
19,深粮控股,2019-06-30,2019-07-13,续盈
19,深粮控股,2019-09-30,2019-10-15,续盈
20,深华发A,2016-06-30,2016-07-15,预减
20,深华发A,2016-12-31,2017-01-24,扭亏
20,深华发A,2017-06-30,2017-07-14,预减
20,深华发A,2017-09-30,2017-10-14,预减
20,深华发A,2019-12-31,2020-02-12,预增
21,深科技,2016-03-31,2016-04-14,预增
21,深科技,2016-06-30,2016-07-15,预增
21,深科技,2016-09-30,2016-10-15,预增
21,深科技,2017-09-30,2017-10-14,预增
21,深科技,2017-12-31,2018-01-30,预增
23,深天地A,2016-03-31,2016-04-14,减亏
23,深天地A,2016-09-30,2016-10-13,预减
23,深天地A,2016-12-31,2017-01-23,预减
23,深天地A,2017-03-31,2017-04-12,扭亏
23,深天地A,2017-06-30,2017-07-12,预增
23,深天地A,2017-09-30,2017-10-13,预增
23,深天地A,2017-12-31,2018-01-16,预增
23,深天地A,2018-03-31,2018-04-14,首亏
23,深天地A,2018-06-30,2018-07-14,预减
23,深天地A,2018-09-30,2018-10-13,预减
23,深天地A,2019-03-31,2019-04-13,扭亏
23,深天地A,2019-06-30,2019-07-12,预增
23,深天地A,2019-09-30,2019-10-15,预增
23,深天地A,2019-12-31,2020-01-21,预增
